Date,y,lag_1,lag_2,lag_4,lag_52,rolling_mean_4,rolling_mean_12
2012-08-03,47485899.56,44097154.97,46059543.45,51253021.88,48015466.97,46877363.1,47480171.93416667
2012-08-10,47403451.04,47485899.56,44097154.97,46099732.1,46249569.21,45935582.52,47526840.315
2012-08-17,47354452.05,47403451.04,47485899.56,46059543.45,46917347.62,46261512.255,47575132.96666667
2012-08-24,47447323.6,47354452.05,47403451.04,44097154.97,47416948.45,46585239.405,47530298.695
2012-08-31,47159639.43,47447323.6,47354452.05,47485899.56,45376623.27,47422781.5625,47460771.51833334
2012-09-07,48330059.31,47159639.43,47447323.6,47403451.04,46763227.53,47341216.53,47253143.8225
2012-09-14,44226038.65,48330059.31,47159639.43,47354452.05,43793960.08,47572868.5975,47246306.20666667
2012-09-21,44354547.11,44226038.65,48330059.31,47447323.6,42718096.73,46790765.247499995,46959452.346666664
2012-09-28,43734899.4,44354547.11,44226038.65,47159639.43,42195830.81,46017571.125,46772571.92916667
2012-10-05,47566639.31,43734899.4,44354547.11,48330059.31,47211688.36,45161386.11749999,46146061.722500004
2012-10-12,46128514.25,47566639.31,43734899.4,44226038.65,44374820.3,44970531.1175,46268303.99
2012-10-19,45122410.57,46128514.25,47566639.31,44354547.11,45818953.44,45446150.0175,46274051.55666667
2012-10-26,45544116.29,45122410.57,46128514.25,43734899.4,45855821.05,45638115.8825,46359489.52333333
